NAME,WAR,wRC,wRAA,wOBA
박시원,-0.02,-0.2,-0.3,0
도태훈,-0.03,0.7,-1,0.258
지석훈,-0.04,10.9,-7.7,0.281
김성욱,-0.07,20.3,-8.9,0.297
유영준,-0.07,-0.5,-0.9,0
김준완,-0.1,6.5,-3.3,0.292
이원재,-0.1,16.3,-2.9,0.321
박준영,-0.19,1.7,-5,0.23
서호철,-0.21,-1.3,-2.4,0
김태진,-0.51,3.6,-7.3,0.241
이상호,-0.65,-1.7,-10,0.16
구자욱,3.35,86.1,19.3,0.387
김상수,3.25,73.3,11.6,0.372
강민호,3,60.5,9,0.37
박해민,2.48,70.7,0.2,0.344
김동엽,2.21,74,15.4,0.383
살라디노,1.35,30,8.6,0.405
이원석,1.27,59,-1.7,0.339
김호재,1.11,22.5,4.4,0.381
강한울,0.55,14.6,-1.4,0.33
이학주,0.5,22.7,-8.7,0.301
최영진,0.35,14.8,-0.2,0.342
이성곤,0.27,19.1,-1,0.336
김지찬,0.12,20.1,-17.4,0.273
송준석,0.12,6.6,0,0.345
김성윤,0.08,1.7,0.5,0.414
권정웅,0.02,0.3,0,0.366
라이블리,-0.02,-0.2,-0.3,0
김재현,-0.05,0.5,-1.8,0.227
김민수,-0.08,0.5,-2.6,0.218
김도환,-0.1,3,-3.5,0.262
김성표,-0.12,-0.5,-1.6,0.118
백승민,-0.13,0,-1.6,0.188
박찬도,-0.15,10,-5.2,0.292
김응민,-0.23,4.2,-6.7,0.25
양우현,-0.3,-0.9,-4,0.148
박승규,-0.31,16.4,-8.8,0.291
김헌곤,-0.4,23.9,-12.5,0.291
팔카,-0.67,18,-10.4,0.288
박계범,-0.82,6.9,-15.5,0.238
이성규,-0.92,17.4,-14.7,0.274
최정,4.77,101.4,30,0.408
로맥,4.32,110.9,35.3,0.414
한유섬,1.23,38.2,7.9,0.383
오태곤,0.89,26.8,0.2,0.345
채태인,0.87,30.9,6.3,0.382
김성현,0.66,38.4,-12.1,0.307
최항,0.62,19.1,-1.2,0.334
김강민,0.6,34.7,-7,0.318
박성한,0.24,11,-3.7,0.305
김성민,0.2,3.7,1.6,0.457
최지훈,0.18,45,-21.9,0.294
노수광,0.15,9.6,-1.3,0.325
유서준,0.06,2.6,-0.7,0.31
김창평,0.02,6,-5.8,0.269
고종욱,0.02,30.9,-6.2,0.318
류효승,-0.02,0.8,-0.3,0.3
이거연,-0.03,0.6,-0.6,0.267
화이트,-0.06,3.8,-0.2,0.337
오준혁,-0.09,17.9,-3.2,0.32
